originalSentence,danishSentence,tamperingType,tamperedSentence,LLMScore,BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f
"Please rise, then, for this minute' s silence.",Jeg opfordrer Dem til stående at iagttage et minuts stilhed.,Add random word,"please rise, then, for this minute' s demonists silence.",0.85,0.7076618839098693,0.9894,0.7777777777777778,0.875,0.823529406782007,0.625,0.7142857142857143,0.6666666616888889,0.7777777777777778,0.875,0.823529406782007
"Please rise, then, for this minute' s silence.",Jeg opfordrer Dem til stående at iagttage et minuts stilhed.,Duplicate Token,"please please rise, then, for this minute' s silence.",1,0.8313539764691034,0.9914,0.875,0.875,0.874999995,0.75,0.8571428571428571,0.7999999950222222,0.875,0.875,0.874999995
"Please rise, then, for this minute' s silence.",Jeg opfordrer Dem til stående at iagttage et minuts stilhed.,Replace Character,"Please rise, then, for this minste' s silence.",0.95,0.7348889200874658,0.9139,0.875,0.875,0.874999995,0.7142857142857143,0.7142857142857143,0.7142857092857143,0.875,0.875,0.874999995
"Please rise, then, for this minute' s silence.",Jeg opfordrer Dem til stående at iagttage et minuts stilhed.,Duplicate character,"Please rise, thenn, for this minute' s silence.",0.95,0.7348889200874658,0.9139,0.875,0.875,0.874999995,0.7142857142857143,0.7142857142857143,0.7142857092857143,0.875,0.875,0.874999995
"Please rise, then, for this minute' s silence.",Jeg opfordrer Dem til stående at iagttage et minuts stilhed.,Remove Character,"lease rise, then, for this minute' s silence.",1,0.9036020036098448,0.9163,0.875,0.875,0.874999995,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.875,0.875,0.874999995
"Please rise, then, for this minute' s silence.",Jeg opfordrer Dem til stående at iagttage et minuts stilhed.,Swap characters,"Please rise, then, fo rthis minute' s silence.",1,0.6340466277046861,0.83,0.75,0.75,0.749999995,0.5714285714285714,0.5714285714285714,0.5714285664285715,0.75,0.75,0.749999995
(The House rose and observed a minute' s silence),(Parlamentet iagttog stående et minuts stilhed,Replace Token with Random Word,(the unapprisedness rose and observed a minute' s silence),0.8,0.7292571723872933,0.9139,0.7777777777777778,0.7777777777777778,0.7777777727777778,0.75,0.75,0.749999995,0.7777777777777778,0.7777777777777778,0.7777777727777778
(The House rose and observed a minute' s silence),(Parlamentet iagttog stående et minuts stilhed,Swap words,(the house rose and a observed minute' s silence) ,0.95,0.3986357128268013,0.9815,0.7777777777777778,0.7777777777777778,0.7777777727777778,0.375,0.375,0.374999995,0.6666666666666666,0.6666666666666666,0.6666666616666668
(The House rose and observed a minute' s silence),(Parlamentet iagttog stående et minuts stilhed,Remove Token,(the rose and observed a minute' s silence),0.8,0.7292571723872933,0.9216,0.875,0.7777777777777778,0.823529406782007,0.8571428571428571,0.75,0.7999999950222222,0.875,0.7777777777777778,0.823529406782007
(The House rose and observed a minute' s silence),(Parlamentet iagttog stående et minuts stilhed,Add random word,(the house rose and observed a minute reproposed' s silence),0.95,0.5016513759455239,0.9894,0.6,0.6666666666666666,0.6315789423822715,0.4444444444444444,0.5,0.4705882303114187,0.6,0.6666666666666666,0.6315789423822715
(The House rose and observed a minute' s silence),(Parlamentet iagttog stående et minuts stilhed,Duplicate Token,(the house house rose and observed a minute' s silence),0.95,0.6709489882833027,0.9894,0.7777777777777778,0.7777777777777778,0.7777777727777778,0.6666666666666666,0.75,0.7058823479584776,0.7777777777777778,0.7777777777777778,0.7777777727777778
(The House rose and observed a minute' s silence),(Parlamentet iagttog stående et minuts stilhed,Replace Character,(The House rosd and observed a minute' s silence),1.0,0.7348889200874658,0.9139,0.8888888888888888,0.8888888888888888,0.888888883888889,0.75,0.75,0.749999995,0.8888888888888888,0.8888888888888888,0.888888883888889
(The House rose and observed a minute' s silence),(Parlamentet iagttog stående et minuts stilhed,Duplicate character,(The House rose and observed a miinute' s silence),1,0.7348889200874658,0.9139,0.8888888888888888,0.8888888888888888,0.888888883888889,0.75,0.75,0.749999995,0.8888888888888888,0.8888888888888888,0.888888883888889
(The House rose and observed a minute' s silence),(Parlamentet iagttog stående et minuts stilhed,Remove Character,(The House rose and observed a minute' s ilence),0.98,0.8265168183793802,0.9139,0.8888888888888888,0.8888888888888888,0.888888883888889,0.875,0.875,0.874999995,0.8888888888888888,0.8888888888888888,0.888888883888889
(The House rose and observed a minute' s silence),(Parlamentet iagttog stående et minuts stilhed,Swap characters,(The House rose and observed a minute' s silenc)e,0.97,0.7604321823471476,0.9914,0.8888888888888888,0.8888888888888888,0.888888883888889,0.875,0.875,0.874999995,0.8888888888888888,0.8888888888888888,0.888888883888889
"Madam President, on a point of order.","Fru formand, en bemærkning til forretningsordenen.",Replace Token with Random Word,"madam president, hammily a point of order.",0.8,0.4671379777282001,0.8819,0.5714285714285714,0.5714285714285714,0.5714285664285715,0.5,0.5,0.4999999950000001,0.5714285714285714,0.5714285714285714,0.5714285664285715
